#{"t_start": 1585925231.215345, "env_id": "SoftReacher-v0"}
r,l,t
-17.546162,1,413.918954
-69.627975,10,414.579638
-21.214637,2,414.702834
-14.767678,1,414.761205
-119.953927,6,415.147228
-6.626924,1,415.184458
-23.025882,7,415.664123
-64.190755,3,415.842945
-13.409957,1,415.924678
-108.566076,6,416.326685
-51.706882,5,416.661972
-10.033227,1,416.722409
-96.442289,5,417.046732
-84.546601,4,417.315332
-119.727866,7,417.784363
-110.247776,10,418.529456
-43.989293,4,418.77564
-132.927577,13,419.691228
-69.317674,6,420.038667
-122.380855,11,420.773113
-21.467973,5,421.057567
-163.11608,8,421.59744
-109.633836,6,421.987866
-129.319028,12,422.761402
-69.264652,11,423.520817
-11.181436,4,423.750279
-130.164751,6,424.162919
-31.227857,7,424.619467
-17.399139,3,424.863431
-12.792568,3,425.030362
-20.61228,1,425.066563
-136.736587,15,426.063922
-13.323089,1,426.118982
-22.065292,7,426.573463
-21.477973,1,426.655028
-229.495662,12,427.503214
-20.346689,3,427.679142
-23.700062,6,428.058162
-27.202358,3,428.233106
-29.222806,4,428.517608
-62.6336,9,429.061998
-35.255471,3,429.279249
-87.229772,9,429.939997
-34.784167,2,430.129105
-54.802855,10,430.713989
-39.861955,2,430.825644
-42.659575,2,430.918055
-58.123503,4,431.156805
-190.266218,10,431.848189
-20.558262,1,431.925094
-140.973001,8,432.450523
-91.169671,5,432.810495
-121.797315,14,433.749194
-108.407749,6,434.08977
-31.875694,2,434.206464
-43.780106,7,434.659932
-84.185542,11,435.399723
-17.716438,3,435.571594
-73.11722,5,435.85817
-125.074443,9,436.454758
-80.759734,9,437.036737
-30.078013,4,437.270767
-21.342752,1,437.306621
-33.420048,2,437.485783
-6.049145,2,437.601652
-54.668612,6,438.067801
-101.007746,10,438.646397
-117.728504,10,439.297418
-99.373124,11,440.111147
-130.615495,7,440.594685
-43.331421,2,440.753515
-8.08889,2,440.874369
-66.69482,3,441.048526
-139.336595,8,441.579031
-80.898112,10,442.219908
-12.189058,2,442.32918
-21.041467,1,442.385863
-92.883939,6,442.80298
-90.956098,11,443.484718
-43.414992,2,443.601582
-75.01763,6,443.976148
-45.488445,4,444.21296
-78.995233,10,444.92653
-104.091687,11,445.628484
-155.693115,8,446.179412
-19.696274,1,446.242626
-107.625952,7,446.715988
-13.303393,1,446.822644
-66.364752,4,447.065596
-36.209437,8,447.533813
-60.999782,3,447.685305
-69.401769,11,448.336692
-99.19634,8,448.903448
-87.040629,12,449.624452
-52.847534,8,450.168082
-28.74628,2,450.292137
-29.959094,2,450.41046
-107.559937,13,451.193799
-33.135893,2,451.313347
-78.557459,4,451.564331
-76.925057,12,452.426528
-16.247402,2,452.545272
-122.785174,6,452.99505
-37.225657,3,453.169296
-65.97823,3,453.338894
-108.023565,10,454.00415
-64.3852,4,454.233536
-111.966125,6,454.626317
-88.282519,7,455.074442
-138.678849,25,456.749655
-82.268746,4,457.012502
-85.131897,5,457.34153
-73.931948,5,457.648079
-17.374127,1,457.74224
-20.199811,1,457.800865
-181.70533,9,458.452947
-60.716393,7,458.947535
-17.034218,1,459.026721
-42.375914,2,459.140029
-64.152453,3,459.311839
-188.10401,9,459.931526
-152.132925,8,460.48483
-94.378901,5,460.808541
-116.456522,8,461.366818
-81.835707,9,461.99015
-168.336479,9,462.59444
-6.686668,1,462.651329
-151.252544,9,463.271938
-17.778139,1,463.330041
-129.672496,6,463.725353
-55.790614,4,464.025867
-69.121399,4,464.352385
-77.568482,7,464.806148
-102.521791,5,465.13727
-10.918371,2,465.229704
-22.928733,1,465.312016
-121.063336,6,465.701823
-95.349722,10,466.354541
-128.411426,7,466.794433
-62.42942,3,466.960428
-92.411797,14,467.86013
-94.843581,5,468.193548
-63.472729,6,468.576975
-53.563363,3,468.842843
-35.369802,7,469.27845
-127.264197,6,469.687521
-80.029486,6,470.114522
-64.822999,3,470.282272
-78.810299,4,470.554597
-22.269073,4,470.89661
-60.055228,3,471.103227
-104.068007,13,472.088938
-37.564372,4,472.368579
-77.183503,13,473.282028
-80.087994,4,473.515571
-22.985628,7,473.982538
-23.501587,4,474.218689
-124.32587,6,474.643813
-22.115393,3,474.815548
-15.265991,1,474.852309
-12.039731,1,474.909699
-98.692627,8,475.470676
-137.214058,7,475.914986
-48.325773,7,476.381124
-104.30312,5,476.668367
-49.442805,4,476.983594
-18.859018,1,477.040011
-97.625392,5,477.418486
-60.005155,10,478.127499
-94.147726,6,478.519156
-166.452516,8,479.103734
-26.447274,2,479.223441
-63.800529,6,479.592668
-183.603807,14,480.544347
-25.837964,4,480.779761
-54.268708,3,480.95371
-112.035864,7,481.435719
-31.344215,4,481.696564
-41.177953,5,481.981453
-122.406343,6,482.443353
-94.14671,11,483.223618
-45.499344,3,483.401082
-47.465343,6,483.801051
-102.027433,6,484.188187
-44.652822,2,484.296167
-99.877005,6,484.68461
-63.333134,3,484.855291
-81.569942,9,485.445657
-67.385881,6,485.841257
-36.336771,3,486.08442
-129.445198,7,486.492731
-175.408798,9,487.148993
-35.256669,4,487.381174
-60.023796,3,487.527944
-48.507119,9,488.121169
-17.224168,2,488.244138
-112.893294,11,489.072053
-95.037954,8,489.606674
-30.764623,7,490.084681
-29.318233,2,490.208
-59.358648,9,490.829885
-160.585701,11,491.561024
-184.037517,9,492.229103
-135.307508,7,492.648186
-45.975045,7,493.099448
-124.476799,14,494.111594
-147.54101,11,494.821965
-13.682865,1,494.906081
-137.628639,8,495.493138
-81.600403,12,496.416255
-47.523416,6,496.809373
-112.184898,12,497.537891
-72.245236,9,498.125
-106.752444,10,498.797746
-8.40233,1,498.876123
-72.148282,10,499.564189
-102.432188,9,500.221776
-49.210122,3,500.40231
-28.024058,2,500.52372
-16.640561,3,500.705539
-52.327454,3,500.884373
-111.852715,11,501.634742
-139.802688,13,502.501083
-29.217551,3,502.679979
-81.957877,5,503.043929
-117.591394,8,503.559125
-60.517589,9,504.123652
-61.84987,3,504.272539
-207.844155,15,505.333971
-2.126568,1,505.412267
-26.117881,2,505.535364
-16.147443,4,505.769872
-31.167178,3,505.945921
-66.139219,3,506.111198
-52.848031,4,506.342973
-3.873068,4,506.700143
-19.411222,1,506.800093
-7.709689,9,507.246648
-65.785663,5,507.599588
-144.462566,7,508.076525
-17.641824,1,508.138982
-13.28959,1,508.226896
-42.839423,2,508.417106
-108.934861,11,509.151346
-51.569847,3,509.319857
-66.549992,7,509.781163
-88.347158,6,510.181187
-20.596736,7,510.609338
-103.40153,5,510.961892
-54.530696,3,511.142739
-31.24178,2,511.255791
-11.23621,1,511.318048
-37.452078,2,511.4289
-48.867426,3,511.605655
-115.763338,7,512.049506
-39.347582,2,512.187685
-57.023861,5,512.519946
-18.801974,4,512.748775
-187.665723,16,513.931374
-105.591839,5,514.232821
-111.600815,6,514.627717
-60.200902,3,514.79983
-64.571152,7,515.229781
-119.046945,7,515.632152
-46.405225,2,515.790545
-98.003849,11,516.424576
-210.886982,12,517.304279
-94.686058,7,517.751637
-43.504108,2,517.867424
-101.803443,6,518.229947
-86.53751,10,518.915184
-65.705295,9,519.464646
-44.480793,2,519.633627
-32.364035,2,519.748441
-184.342825,10,520.388606
-174.314849,14,521.406273
-183.96858,10,522.009001
-88.198893,8,522.533492
-6.677256,3,522.699148
-62.604639,3,522.917699
-99.006372,5,523.254852
-95.238059,10,523.973962
-31.684993,3,524.141084
-68.223818,5,524.465836
-63.123399,3,524.639908
-53.122768,4,524.868402
-48.009039,5,525.174586
-1.078745,1,525.23211
-81.017617,8,525.746389
-90.053246,6,526.11587
-22.015805,2,526.190085
-66.186835,10,526.859947
-36.033909,6,527.229861
-18.786889,1,527.288372
-32.010787,3,527.449075
-83.126805,6,527.814872
-27.578088,2,527.974494
-71.472012,6,528.37964
-153.367445,9,528.948486
-115.322263,7,529.425809
-84.251943,11,530.20754
-108.552302,5,530.513469
-65.894004,7,531.029497
-124.636577,6,531.430233
-90.563006,5,531.803917
-8.818928,1,531.861181
-107.337016,6,532.241295
-1.626637,1,532.298836
-101.251338,11,533.026649
-72.804077,5,533.313998
-80.50965,4,533.544355
-18.442388,1,533.602854
-135.886917,11,534.387643
-1.827023,1,534.422643
-125.948918,6,534.800451
-18.693198,1,534.878832
-166.960804,13,535.80179
-33.335894,3,536.003829
-106.655401,11,536.783259
-70.790079,8,537.370951
-27.915552,2,537.4937
-27.991732,4,537.755827
-116.277872,7,538.262057
-46.839202,3,538.43987
-51.637538,3,538.619782
-84.277477,9,539.277411
-113.696593,6,539.680285
-43.167809,5,539.976036
-18.971717,1,540.033
-36.696419,2,540.19297
-4.198842,1,540.246693
-161.752521,8,540.739167
-24.166397,3,540.911396
-175.746797,9,541.549252
-6.853924,3,541.6978
-145.902243,7,542.161981
-33.761394,2,542.329822
-80.681696,5,542.656147
-24.874553,2,542.748425
-37.528777,3,542.934926
-104.912305,5,543.24453
-122.593437,11,544.013127
-21.386554,1,544.050667
-35.185466,6,544.436939
-146.906623,7,544.880411
-172.201482,16,546.042928
-103.402937,13,546.950368
-119.517228,10,547.594308
-16.453329,3,547.731472
-67.151282,9,548.266489
-32.921791,5,548.550792
-27.327467,2,548.67069
-95.278788,7,549.070429
-15.635533,4,549.362216
-112.682209,5,549.714436
-136.196816,10,550.373426
